日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2004-01-02,8.51,8.64,8.65,8.41,58047,49634000.0,2.82,1.53,0.13,0.41
2004-01-05,8.64,8.92,8.98,8.6,120577,106529000.0,4.4,3.24,0.28,0.86
2004-01-06,9.0,9.33,9.55,9.0,375917,351523008.0,6.17,4.6,0.41,2.67
2004-01-07,9.33,9.39,9.53,9.25,195362,183458000.0,3.0,0.64,0.06,1.39
2004-01-08,9.4,9.41,9.47,9.23,127015,118499000.0,2.56,0.21,0.02,0.9
2004-01-09,9.41,9.03,9.46,9.0,160459,147739008.0,4.89,-4.04,-0.38,1.14
2004-01-12,9.0,9.19,9.2,8.96,90856,82441000.0,2.66,1.77,0.16,0.65
2004-01-13,9.25,9.18,9.39,9.08,108653,100501000.0,3.37,-0.11,-0.01,0.77
2004-01-14,9.22,9.03,9.23,9.0,73269,66271000.0,2.51,-1.63,-0.15,0.52
2004-01-15,9.03,9.1,9.19,9.0,61678,56127000.0,2.1,0.78,0.07,0.44
2004-01-16,9.1,9.28,9.33,9.08,89077,82305000.0,2.75,1.98,0.18,0.63
2004-01-29,9.28,9.53,9.58,9.2,113268,106591000.0,4.09,2.69,0.25,0.8
2004-01-30,9.55,9.28,9.59,9.27,82342,77301000.0,3.36,-2.62,-0.25,0.58
2004-02-02,9.4,9.67,9.79,9.35,235196,226424992.0,4.74,4.2,0.39,1.67
2004-02-03,9.67,9.83,9.93,9.56,175446,171743008.0,3.83,1.65,0.16,1.25
2004-02-04,9.88,10.01,10.08,9.85,193975,193900992.0,2.34,1.83,0.18,1.38
2004-02-05,10.06,10.06,10.28,9.98,174839,176604992.0,3.0,0.5,0.05,1.24
2004-02-06,10.08,10.51,10.98,9.88,438125,459816992.0,10.93,4.47,0.45,3.11
2004-02-09,10.54,10.59,10.74,10.42,196300,207036992.0,3.04,0.76,0.08,1.39
2004-02-10,10.65,10.74,10.95,10.51,232602,249108992.0,4.15,1.42,0.15,1.65
2004-02-11,10.78,10.62,10.84,10.45,201991,213547008.0,3.63,-1.12,-0.12,1.43
2004-02-12,10.65,10.51,10.81,10.5,148276,157931008.0,2.92,-1.04,-0.11,1.05
2004-02-13,10.44,10.25,10.58,10.21,144236,149172992.0,3.52,-2.47,-0.26,1.02
2004-02-16,10.25,10.6,10.63,10.25,126195,131898000.0,3.71,3.41,0.35,0.9
2004-02-17,10.61,10.57,10.75,10.52,119303,126621000.0,2.17,-0.28,-0.03,0.85
2004-02-18,10.52,10.53,10.72,10.45,121684,128583000.0,2.55,-0.38,-0.04,0.86
2004-02-19,10.54,10.59,10.75,10.5,117972,124969000.0,2.37,0.57,0.06,0.84
2004-02-20,10.6,11.12,11.25,10.57,597570,657841024.0,6.42,5.0,0.53,4.24
2004-02-23,11.15,10.91,11.39,10.9,315295,350455008.0,4.41,-1.89,-0.21,2.24
2004-02-24,10.9,10.61,10.9,10.45,219511,233196992.0,4.12,-2.75,-0.3,1.56
2004-02-25,10.62,10.3,10.77,10.25,188105,197563008.0,4.9,-2.92,-0.31,1.34
2004-02-26,10.28,10.34,10.41,10.15,135667,139412992.0,2.52,0.39,0.04,0.96
2004-02-27,10.35,10.36,10.44,10.23,81800,84445000.0,2.03,0.19,0.02,0.58
2004-03-01,10.32,10.37,10.4,10.05,95836,97767000.0,3.38,0.1,0.01,0.68
2004-03-02,10.4,10.45,10.57,10.35,98743,103314000.0,2.12,0.77,0.08,0.7
2004-03-03,10.32,10.61,10.82,10.3,182110,192808000.0,4.98,1.53,0.16,1.29
2004-03-04,10.58,11.06,11.1,10.55,340664,369808992.0,5.18,4.24,0.45,2.42
2004-03-05,11.15,10.67,11.19,10.65,224487,245038000.0,4.88,-3.53,-0.39,1.59
2004-03-08,10.67,10.41,10.84,10.36,132802,140727008.0,4.5,-2.44,-0.26,0.94
2004-03-09,10.38,10.43,10.66,10.38,87718,92045000.0,2.69,0.19,0.02,0.62
2004-03-10,10.43,10.68,10.7,10.43,80594,85266000.0,2.59,2.4,0.25,0.57
2004-03-11,10.71,10.79,10.89,10.65,121751,131239000.0,2.25,1.03,0.11,0.86
2004-03-12,10.75,10.66,10.78,10.56,80749,85983000.0,2.04,-1.2,-0.13,0.57
2004-03-15,10.6,10.97,11.0,10.6,203827,221928000.0,3.75,2.91,0.31,1.45
2004-03-16,10.99,10.9,11.03,10.8,124580,135955008.0,2.1,-0.64,-0.07,0.88
2004-03-17,10.91,11.23,11.34,10.85,385343,429352992.0,4.5,3.03,0.33,2.74
2004-03-18,11.25,11.0,11.4,10.96,295091,330512000.0,3.92,-2.05,-0.23,2.1
2004-03-19,11.0,11.17,11.2,10.95,142155,157903008.0,2.27,1.55,0.17,1.01
2004-03-22,11.2,11.31,11.37,11.15,151927,170724000.0,1.97,1.25,0.14,1.08
